   Department,Year,    Age ,  Gender,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,Level
VET,1,19,Male,5,1,3,1,4,1,3,2,4,2,1,3,3,5,3,4,1,2,3,3,4,5,4,2,1,2.8
VET,1,19,Male,3,4,4,5,5,3,1,5,4,5,3,2,5,3,1,1,1,3,1,5,5,1,4,4,4,3.28
VET,1,23,Male,3,5,3,5,3,2,4,5,4,3,4,5,4,4,5,3,1,3,3,3,3,3,3,3,3,3.48
VET,1,19,Female,1,1,5,5,3,5,5,4,5,4,5,4,4,4,5,5,2,2,1,2,3,1,1,5,4,3.44
VET,1,19,Male,5,5,2,1,3,4,5,4,5,4,3,4,5,5,5,4,5,5,1,1,2,2,3,5,5,3.72
VET,1,19,Male,3,4,4,5,4,5,5,5,4,3,4,2,5,2,5,5,4,4,3,1,4,4,5,5,5,4
VET,1,19,Male,5,4,5,3,2,3,5,5,5,3,4,4,4,4,2,1,2,1,5,4,3,5,5,4,5,3.72
VET,1,23,Female,5,4,5,3,5,4,5,5,1,1,3,2,5,5,5,4,4,5,3,2,5,4,1,5,4,3.8
VET,1,21,Female,5,3,5,2,5,1,4,5,5,4,4,3,5,3,5,4,2,5,1,5,3,5,5,4,5,3.92
VET,1,23,Female,5,2,3,4,5,5,4,1,2,4,5,3,1,4,4,2,4,3,1,5,3,2,4,3,5,3.36
VET,1,22,Female,3,3,4,5,3,5,3,1,4,5,4,5,3,3,5,3,4,2,3,5,4,5,2,1,3,3.52
VET,1,21,Female,5,4,3,2,5,3,7,2,4,4,1,3,3,5,4,5,4,5,3,4,2,3,4,3,5,3.72
VET,1,19,Female,1,1,1,1,1,3,2,5,2,1,2,1,1,3,4,3,5,3,2,4,2,5,4,5,5,2.68
VET,1,23,Male,5,3,5,4,5,3,5,4,5,3,5,1,5,4,2,4,4,2,5,4,2,4,5,5,3,3.88
VET,1,23,Male,5,4,4,3,2,5,3,5,4,3,2,4,5,4,5,4,5,1,4,4,2,4,3,3,1,3.56
VET,1,24,Male,5,4,3,5,3,5,3,3,3,5,5,4,4,4,2,3,4,1,5,4,4,1,5,4,5,3.76
VET,1,25,Male,5,3,1,4,5,3,5,3,5,4,5,3,5,5,4,4,3,4,2,3,5,1,5,2,3,3.68
VET,1,21,Male,3,5,4,3,5,3,5,4,1,4,3,5,1,1,4,5,3,5,3,5,2,5,1,1,5,3.44
VET,1,23,Male,3,3,3,3,3,1,4,4,5,3,3,3,3,3,3,5,4,4,5,5,3,5,2,4,3,3.48
VET,1,22,Female,5,3,4,5,4,1,2,3,5,3,5,5,3,3,1,3,5,3,5,4,4,4,3,2,3,3.52
VET,1,24,Male,5,3,5,3,5,3,1,4,3,3,2,4,4,5,3,5,1,1,3,5,3,3,4,5,2,3.4
VET,1,22,Female,5,4,5,1,5,3,5,5,2,5,3,5,4,3,5,3,4,1,5,3,4,2,5,4,1,3.68
VET,1,23,Male,5,4,4,1,4,4,3,4,3,4,5,3,3,2,4,3,4,3,1,2,4,4,3,5,5,3.48
VET,1,19,Male,5,4,4,3,4,4,3,4,3,4,5,3,3,2,4,3,4,3,3,2,4,4,3,5,4,3.6
VET,1,21,Male,5,1,5,1,1,2,1,1,1,1,1,4,1,1,1,3,3,1,1,2,2,2,1,3,1,1.84
VET,1,19,Male,5,5,1,4,2,4,3,4,3,4,3,3,1,3,2,3,3,3,4,4,4,3,4,4,5,3.36
VET,1,23,Male,5,2,1,5,4,5,3,5,4,5,5,2,1,1,4,4,1,4,1,4,2,1,4,5,4,3.28
VET,1,19,Male,5,4,5,5,4,5,3,5,4,5,5,2,1,3,4,1,4,1,4,2,2,1,4,5,4,3.52
VET,1,23,Male,5,4,1,4,2,4,3,4,3,4,3,3,1,3,2,3,3,3,4,4,4,3,4,4,5,3.32
VET,2,21,Male,5,4,3,5,3,5,3,3,3,5,5,4,5,3,1,1,1,3,1,5,5,1,4,4,4,3.44
VET,2,23,Male,5,3,1,4,5,3,5,3,5,4,5,3,4,4,5,3,1,4,5,3,5,2,5,5,5,3.88
VET,2,23,Male,3,5,4,3,5,3,5,4,1,4,3,5,4,4,5,5,2,2,1,2,3,1,1,5,4,3.36
VET,2,21,Male,3,3,3,3,3,1,4,4,5,3,3,3,5,5,5,4,5,5,1,1,2,2,3,5,5,3.44
VET,2,23,Male,5,3,4,5,4,1,2,3,5,3,5,5,5,2,5,5,4,4,3,1,4,4,5,5,5,3.88
VET,2,22,Male,3,4,5,3,5,3,1,4,5,4,5,3,4,4,2,1,2,1,5,4,3,5,5,4,5,3.6
VET,2,23,Female,5,4,3,4,5,3,5,2,4,5,1,4,5,5,5,4,4,5,3,2,5,4,1,5,4,3.88
VET,2,21,Female,5,1,3,1,4,1,3,2,4,2,1,3,5,3,5,4,2,5,1,5,3,5,5,4,5,3.28
VET,2,23,Female,4,0,3,2,4,3,5,4,1,5,3,5,1,4,4,2,4,3,1,5,3,2,4,3,5,3.2
VET,2,19,Male,4,5,3,1,4,5,1,3,5,3,5,4,5,3,5,2,5,3,5,1,1,4,5,2,4,3.52
VET,2,19,Male,4,5,3,4,2,5,1,5,3,5,4,5,1,5,4,2,3,1,4,1,5,3,4,5,1,3.4
VET,2,23,Male,5,4,3,5,5,4,5,5,4,1,5,2,3,5,2,3,1,1,5,4,4,5,3,4,4,3.68
VET,2,23,Male,3,3,2,4,3,4,1,5,4,3,2,5,1,4,4,1,3,3,5,4,5,1,5,3,1,3.16
VET,2,23,Female,5,4,3,2,5,5,4,5,1,1,2,2,5,4,5,1,4,5,1,5,1,5,4,4,1,3.36
VET,2,23,Female,1,1,5,4,5,3,5,5,5,4,5,3,1,1,5,4,5,4,4,4,5,5,5,4,5,3.92
VET,2,22,Female,2,4,2,4,5,5,5,5,3,2,4,5,4,5,5,5,5,3,1,4,2,4,5,5,1,3.8
VET,2,23,Female,5,2,5,3,5,4,5,1,2,2,1,5,5,4,5,4,4,4,5,1,1,5,5,4,4,3.64
VET,2,19,Female,5,5,4,3,5,4,5,5,5,2,3,2,1,5,5,4,4,4,3,3,5,5,4,5,4,4
VET,2,24,Female,3,3,5,5,4,5,1,3,5,3,2,4,5,4,5,4,5,4,3,1,2,1,2,5,5,3.56
VET,2,21,Male,5,5,3,5,1,5,2,4,2,4,2,4,5,5,4,4,5,5,4,1,4,5,5,4,5,3.92
VET,2,19,Male,5,4,5,3,5,4,3,5,4,5,4,3,1,3,2,1,2,3,2,1,3,2,4,3,1,3.12
VET,2,19,Male,5,4,5,4,3,4,1,5,4,3,4,3,4,3,4,2,1,4,3,5,4,2,3,3,5,3.52
VET,2,23,Male,5,4,5,4,5,4,3,5,5,4,5,3,2,1,3,4,3,2,1,3,2,3,4,5,1,3.44
VET,2,23,Female,5,4,5,4,5,4,1,5,4,5,4,5,4,4,3,2,1,3,2,1,3,4,3,2,5,3.52
VET,2,19,Female,5,5,4,3,2,1,4,5,4,5,4,5,4,3,2,4,3,4,3,4,5,3,4,3,5,3.76
VET,2,23,Male,5,4,4,4,5,1,3,1,2,4,4,4,2,1,2,1,1,2,1,1,2,1,2,5,3,2.6
VET,1,21,Female,4,5,2,3,3,2,4,3,2,3,2,4,2,2,1,2,2,2,3,2,2,3,4,3,5,2.8
AET,3,22,Male,3,3,3,3,5,3,5,4,4,5,4,3,4,3,3,3,2,2,3,3,3,5,4,4,4,3.52
AET,3,22,Male,1,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,4.2
AET,3,22,Male,4,4,5,4,5,3,5,5,5,3,4,4,3,5,5,5,2,3,5,4,4,4,4,3,4,4.08
AET,3,21,Male,3,3,5,5,5,4,5,5,4,3,4,4,5,2,3,4,2,4,3,5,3,5,2,3,4,3.8
AET,3,20,Male,1,3,1,4,4,2,3,4,3,2,2,2,2,1,2,3,2,2,2,1,2,2,3,2,2,2.28
Agriculture,4,22,Male,3,2,2,3,2,3,3,3,4,4,2,3,4,3,4,5,3,4,2,3,4,4,4,4,5,3.32
Agriculture,2,21,Male,4,4,3,4,3,4,3,4,4,2,2,2,3,3,2,2,2,3,4,4,3,2,4,3,4,3.12
Agriculture,4,28,Male,3,4,3,2,5,3,5,4,4,5,2,4,2,4,4,4,2,4,3,2,4,2,2,5,4,3.44
Agriculture,4,23,Male,3,3,5,5,3,3,5,3,4,5,4,5,5,3,3,5,4,5,3,4,5,5,4,4,4,4.08
Agriculture,4,22,Male,4,3,4,4,3,3,5,5,4,5,5,3,4,4,3,4,3,3,4,4,4,4,3,4,5,3.88
Agriculture,4,21,Male,3,3,5,3,3,2,5,4,3,5,5,5,5,5,4,2,3,5,5,4,5,5,3,5,5,4.08
Agriculture,3,20,Male,4,3,3,3,2,2,4,4,4,5,5,4,4,4,5,3,4,3,5,4,5,4,4,4,5,3.88
Agriculture,2,20,Male,3,2,4,3,1,2,2,4,4,4,5,4,4,4,3,4,2,3,4,4,4,4,3,4,4,3.4
Agriculture,4,22,Male,1,3,5,3,4,1,3,1,1,3,2,2,1,1,1,4,1,3,1,1,5,1,1,3,2,2.16
Agriculture,4,23,Male,2,3,3,3,4,4,4,4,3,5,5,2,4,5,3,5,5,4,3,3,2,2,3,5,4,3.6
Agriculture,4,23,Male,4,5,5,3,3,3,2,4,2,3,4,3,4,5,3,4,2,2,5,3,4,3,3,4,4,3.48
Agriculture,4,21,Male,2,2,2,4,4,4,4,4,4,2,2,4,4,2,3,4,4,2,4,2,4,2,2,4,4,3.16
Agriculture,4,22,Male,3,4,3,3,5,3,3,5,3,3,3,3,3,3,2,5,1,3,3,4,3,5,2,3,4,3.28
Agriculture,4,23,Male,2,3,5,2,1,1,3,4,4,3,4,4,4,4,4,4,2,4,2,4,4,3,3,3,1,3.12
Agriculture,4,23,Male,5,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,5,5,4.2
Agriculture,4,21,Male,3,5,1,5,5,4,5,2,2,4,3,1,2,4,2,4,4,1,4,3,4,2,5,4,5,3.36
Agriculture,4,21,Female,3,2,1,3,4,5,5,5,5,5,4,4,3,2,5,5,5,4,2,3,5,3,4,5,5,3.88
Agriculture,4,22,Male,3,4,1,2,5,3,5,4,3,3,1,2,3,2,4,4,1,2,3,3,5,2,3,5,5,3.12
Animal Husbandry,4,24,Male,2,3,3,4,3,4,3,3,3,3,2,3,3,4,2,4,3,3,4,3,2,3,2,3,3,3
Animal Husbandry,4,22,Male,3,2,2,3,3,3,2,2,3,2,2,3,3,4,2,4,3,2,3,3,2,4,3,3,3,2.76
Animal Husbandry,3,21,Male,2,3,3,3,4,3,5,2,2,3,4,4,3,4,2,2,4,4,4,3,3,3,2,4,4,3.2
Animal Husbandry,4,23,Male,3,3,3,3,3,4,3,4,4,4,4,4,4,3,4,4,3,3,4,3,3,4,4,4,4,3.56
BBA,3,22,Male,3,4,3,4,3,4,5,5,4,5,4,4,5,5,4,4,5,5,4,5,5,5,4,4,5,4.32
BBA,3,24,Male,3,3,3,3,3,4,4,3,4,5,5,3,5,4,5,3,3,3,3,3,3,3,1,1,3,3.32
BFA,3,21,Female,2,3,3,1,3,3,2,4,5,4,3,4,3,3,2,5,3,5,3,3,3,3,3,4,4,3.24
Biotechnology,2,23,Male,3,5,3,5,5,1,5,5,5,4,3,5,5,5,5,5,5,3,5,5,4,5,4,5,5,4.4
Botany,4,24,Male,3,2,3,3,3,3,3,3,3,4,3,2,3,4,3,3,2,2,3,3,3,3,3,3,3,2.92
BUSINESS MANAGEMENT ,4,32,Male,5,4,3,4,3,3,4,5,5,4,5,3,3,3,4,4,4,4,4,3,3,3,3,4,4,3.76
CSE,1,19,Male,3,2,4,2,5,3,3,3,3,3,3,1,4,2,2,4,2,2,3,2,2,3,2,2,4,2.76
CSE,1,20,Male,2,2,3,3,2,4,4,5,5,5,5,5,4,3,3,5,5,4,2,2,5,5,5,5,5,3.92
CSE,1,19,Female,3,2,2,2,3,2,4,4,3,3,3,2,3,2,2,3,2,2,3,2,2,2,2,4,4,2.64
CSE,1,19,Female,3,3,3,3,2,3,4,3,3,2,4,2,4,3,3,3,2,3,3,3,3,3,3,4,3,3
CSE,4,26,Male,3,2,4,5,5,2,5,5,4,3,5,4,4,4,4,4,5,3,4,4,5,3,3,5,5,4
CSE,3,22,Male,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
CSE,4,24,Male,3,5,5,4,5,3,5,5,5,4,5,4,4,5,4,4,3,4,5,3,4,4,3,4,4,4.16
CSE,2,23,Male,5,3,1,4,2,5,5,5,5,4,3,4,4,3,5,4,2,2,3,2,2,4,4,4,4,3.56
Dairy Science,4,23,Male,3,5,2,4,3,4,3,4,3,5,4,2,4,3,5,3,3,2,3,2,5,4,4,4,5,3.56
Dairy Science,4,23,Male,4,4,2,3,4,2,5,3,3,4,4,2,3,2,3,3,2,4,5,4,2,1,4,4,5,3.28
Dairy Science,4,23,Male,3,5,4,4,4,4,5,4,4,4,4,2,2,4,4,4,4,3,4,4,1,1,3,3,4,3.52
Dairy Science,4,23,Male,3,3,3,2,2,2,5,4,4,4,3,2,5,5,5,2,1,1,3,3,3,5,3,3,3,3.16
DVM,4,24,Male,2,2,4,4,2,3,2,4,3,4,1,1,1,4,3,4,4,3,2,2,1,1,2,3,3,2.6
Econ,3,22,Male,3,5,3,1,1,2,5,4,4,5,2,2,5,3,4,5,4,3,3,2,3,3,5,4,1,3.28
EEE,3,22,Male,3,1,3,4,4,2,5,5,3,4,4,3,1,5,3,5,1,4,4,4,1,2,3,4,5,3.32
EEE,4,24,Male,3,3,5,4,5,3,5,4,4,4,3,4,3,3,3,4,4,4,4,3,3,3,3,4,4,3.68
EEE,1,21,Male,3,3,3,5,3,3,5,5,1,3,5,1,5,3,3,5,1,4,1,3,3,3,3,5,5,3.36
EEE,3,22,Male,4,4,3,4,3,2,5,3,4,5,5,4,4,5,5,5,3,4,5,4,5,3,3,5,5,4.08
EEE,3,23,Male,3,3,5,5,3,3,3,4,4,5,2,3,4,4,5,5,3,5,5,5,3,4,5,5,5,4.04
EEE,1,20,Male,1,1,3,1,1,1,3,5,5,5,5,5,3,2,3,3,3,1,1,1,4,3,4,5,5,2.96
ENGLISH,3,21,Female,4,5,3,4,5,4,5,4,4,3,5,2,4,3,4,3,2,3,3,4,2,2,2,5,5,3.6
ENGLISH,2,21,Female,3,2,1,2,3,3,4,3,3,4,4,4,4,2,3,3,4,3,4,3,3,4,4,3,4,3.2
Entomology,4,24,Male,3,5,2,5,5,5,5,5,4,5,5,4,1,5,5,4,4,3,4,4,5,1,2,5,5,4.04
Environmental Sciences,4,23,Male,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Environmental Sciences,4,23,Female,3,4,4,4,4,3,4,5,4,5,2,3,4,5,4,3,3,4,4,3,4,4,3,4,4,3.76
FES,3,21,Male,3,4,3,3,3,4,5,4,2,4,5,3,5,3,2,4,3,4,3,2,3,5,5,5,5,3.68
Fisheries & Marine Science,3,21,Male,3,1,5,2,1,2,4,4,4,5,5,5,5,5,5,3,2,3,5,1,5,5,3,2,5,3.6
FnB,3,22,Male,1,2,2,2,2,1,5,5,2,4,4,3,2,5,3,5,2,5,4,3,2,2,3,4,5,3.12
Forestry & Wood Technology,3,23,Male,2,5,5,5,4,1,3,5,5,5,5,3,5,3,3,5,2,3,3,3,5,4,4,4,5,3.88
Forestry & Wood Technology,3,21,Male,3,3,3,3,3,3,5,3,3,3,3,3,3,3,4,4,3,3,4,3,3,3,3,4,4,3.28
Forestry & Wood Technology,3,23,Male,1,3,3,5,5,2,5,5,4,4,3,5,3,2,5,5,4,3,3,3,2,3,2,4,5,3.56
Forestry & Wood Technology,3,22,Male,1,5,2,4,2,4,4,4,5,5,5,4,4,4,4,2,4,3,4,4,2,4,2,4,5,3.64
FVS,4,23,Male,3,2,3,2,4,2,4,3,3,3,4,2,4,3,2,2,3,2,3,2,2,3,2,3,4,2.8
Geography And Environment,2,20,Male,5,5,5,5,4,5,5,5,5,5,5,4,3,2,5,5,4,3,3,3,3,3,3,4,5,4.16
Horticulture,4,24,Male,3,2,3,3,3,3,4,4,1,3,3,2,3,3,3,4,3,2,3,3,3,3,2,3,4,2.92
Human Resource Management,1,21,Male,3,3,3,2,3,1,4,5,2,4,4,3,5,3,4,3,2,3,3,3,4,5,4,4,4,3.36
ICE,2,20,Male,2,2,2,2,1,4,4,4,3,4,4,3,4,5,4,3,2,2,4,2,4,4,4,4,4,3.24
IIT,4,22,Female,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2.88
Industrial and production engineering,1,21,Male,3,4,5,5,3,2,5,5,4,4,4,3,5,2,5,4,2,4,5,4,5,5,2,5,5,4
International Relations,4,23,Female,3,3,5,5,5,5,5,5,4,5,5,4,5,1,3,4,3,3,3,4,5,5,3,4,4,4.04
IPE,2,21,Male,3,4,3,4,4,4,4,4,5,4,4,3,4,4,5,4,2,3,5,4,3,2,5,4,3,3.76
IPE,2,20,Female,4,4,4,3,4,5,4,4,4,4,5,3,4,3,3,4,3,3,4,4,4,4,4,5,4,3.88
IPE,2,19,Male,3,4,3,3,3,3,5,3,3,3,3,3,3,4,3,4,3,3,4,3,4,3,3,3,4,3.32
IPE,1,22,Male,1,1,1,5,5,1,5,5,4,5,5,2,5,5,3,5,2,3,4,5,5,5,4,5,5,3.84
Islamic studies,2,20,Female,3,2,3,3,4,3,4,4,4,4,3,3,2,3,3,4,2,2,2,2,2,2,3,5,4,3.04
Islamic studies,2,21,Male,3,3,3,3,5,5,4,5,2,4,1,2,4,5,2,4,2,2,4,3,4,3,2,4,4,3.32
Islamic Studies ,4,21,Male,3,3,3,4,3,3,4,5,4,4,3,3,4,3,4,4,1,2,2,3,3,3,3,4,4,3.28
Law,2,21,Male,3,3,3,3,3,4,5,4,4,5,5,4,3,2,4,4,3,3,3,3,4,3,3,4,4,3.56
Law,4,21,Male,1,2,3,3,3,3,3,5,3,2,2,3,4,2,3,4,2,2,2,2,5,3,3,4,5,2.96
Law,4,21,Female,3,3,3,4,5,5,3,5,4,4,4,1,3,3,3,4,4,4,3,3,4,4,4,5,4,3.68
Management,2,19,Female,3,5,5,2,2,2,5,5,4,5,3,3,4,5,2,5,3,2,4,4,5,5,2,3,4,3.68
Mathematics,4,24,Male,3,3,1,2,5,3,3,4,4,4,2,4,4,2,2,2,2,2,2,2,2,3,3,5,4,2.92
Mathematics,4,24,Male,3,3,3,3,5,3,4,3,3,4,3,3,3,4,3,5,3,4,4,3,4,3,3,5,4,3.52
Mathematics,4,24,Male,4,2,2,2,4,4,4,3,2,4,1,4,2,2,2,2,2,2,2,2,2,2,4,3,3,2.64
MBBS,4,22,Male,3,3,2,4,3,3,4,5,5,3,4,3,4,1,3,2,3,3,3,3,3,3,4,4,3,3.24
MBBS,4,22,Male,3,3,2,4,3,3,4,5,5,3,4,3,4,1,3,2,3,3,3,3,3,3,4,4,3,3.24
MCE,2,21,Male,1,1,3,2,1,1,5,4,5,5,2,1,5,1,3,5,1,1,5,5,5,5,3,5,5,3.2
ME,1,20,Male,3,3,3,2,3,4,3,2,2,4,2,1,4,4,3,4,1,2,3,5,2,4,5,4,4,3.08
ME,1,21,Female,4,3,4,5,5,5,4,5,5,5,5,5,5,3,5,4,3,3,3,3,5,5,4,5,5,4.32
Mechanical Engineering,1,20,Male,2,3,4,4,3,2,5,5,5,4,4,2,4,4,4,5,2,2,4,3,1,2,4,4,4,3.44
Microbiology,4,24,Female,1,1,3,3,3,4,3,3,3,4,4,2,2,3,2,3,1,2,3,2,2,2,2,4,3,2.6
MPE,2,20,Female,5,3,3,3,4,5,3,5,4,5,5,3,3,3,3,3,3,3,2,4,3,3,4,4,5,3.64
MPE,2,22,Male,3,4,3,4,4,3,4,4,4,4,4,2,5,5,2,3,4,3,3,4,3,5,5,4,4,3.72
MPE,1,21,Male,3,4,4,4,4,3,5,4,4,4,3,3,3,4,4,4,3,4,5,4,3,4,4,4,4,3.8
MPE,1,21,Male,3,3,4,4,4,3,4,5,3,4,3,3,4,3,2,3,2,3,3,2,5,4,3,3,5,3.4
MPE,2,20,Male,3,3,3,2,3,3,3,4,2,2,3,2,4,2,2,4,3,3,3,2,2,2,2,4,2,2.72
MPE,1,18,Female,1,4,4,2,5,3,4,5,5,4,3,5,3,4,2,2,3,2,4,1,2,3,4,3,4,3.28
MPE,1,20,Male,3,3,3,4,5,2,4,5,5,5,4,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3.48
P.A,2,21,Male,5,3,5,3,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,3,5,5,5,3,3,4.52
Pharmacology,4,23,Male,2,2,3,4,3,3,3,4,5,4,4,4,5,5,2,3,2,3,2,3,3,5,3,4,4,3.4
PHI,4,25,Male,2,5,3,4,3,3,3,4,4,4,4,4,4,4,2,4,4,4,3,4,4,2,4,4,4,3.6
Physics,3,20,Male,3,2,3,4,3,2,5,4,5,4,1,3,4,2,4,4,4,3,4,4,4,4,4,5,4,3.56
Physics,3,23,Male,3,3,3,4,3,4,4,4,5,4,2,3,4,3,2,4,3,3,3,2,3,5,4,4,4,3.44
Physics,3,21,Male,2,2,2,4,1,2,1,5,2,5,5,2,2,4,1,4,1,2,4,2,4,2,2,4,4,2.76
Physics,3,21,Male,4,4,5,5,4,2,4,4,5,4,4,3,4,1,2,5,2,4,3,4,3,3,2,4,4,3.56
Physics,3,20,Male,2,3,2,4,3,2,3,3,2,2,4,2,3,4,3,2,2,2,4,2,2,2,2,4,4,2.72
Physics,3,23,Male,3,4,4,3,4,3,1,4,3,3,3,3,1,3,2,1,1,1,2,1,1,1,1,3,4,2.4
Physics,3,22,Male,1,5,1,1,2,3,5,4,4,5,5,5,2,4,1,4,2,2,5,1,2,1,4,2,5,3.04
Physics,2,20,Male,3,3,4,4,5,2,4,4,4,4,3,3,3,2,1,5,3,4,3,3,3,3,3,5,4,3.4
Physics,2,20,Male,3,4,3,2,3,2,3,5,5,4,2,2,4,2,3,5,3,3,4,3,4,5,3,4,3,3.36
Physics,4,25,Female,4,5,5,3,4,3,4,4,4,5,4,2,3,3,3,4,3,4,4,3,3,3,5,4,5,3.76
Physics,4,23,Male,2,4,1,3,3,2,3,4,4,4,2,4,2,5,3,3,3,1,3,2,3,3,4,4,4,3.04
Physics,4,23,Male,5,5,5,5,5,5,4,3,3,5,5,5,3,1,3,1,3,4,5,4,5,2,3,3,4,3.84
Physics,4,23,Male,1,1,5,3,4,3,4,4,2,4,3,2,5,4,4,2,1,2,4,3,1,4,4,5,5,3.2
Political Science,3,22,Male,3,3,3,3,3,3,3,4,4,3,3,5,3,4,4,4,3,4,3,4,3,3,3,3,3,3.36
Surgery and obstetrics,4,24,Male,3,3,5,5,5,3,5,4,4,5,3,5,5,3,3,4,2,4,3,4,3,5,2,2,4,3.76
SWE,1,20,Male,4,2,5,3,4,5,4,3,2,4,4,4,1,5,2,4,4,3,4,4,4,4,4,5,5,3.72
Veterinary Science,4,24,Female,5,5,5,4,5,4,4,4,4,4,5,3,4,3,4,5,4,4,4,3,4,4,4,4,4,4.12
Veterinary Science,4,23,Male,3,3,4,3,5,4,3,4,3,4,3,4,3,4,3,5,4,3,5,3,3,3,3,4,4,3.6
Veterinary Science,2,21,Male,1,4,4,3,4,3,5,5,4,3,4,1,3,3,2,5,4,5,4,5,1,3,4,3,4,3.48
Veterinary Science,4,24,Male,3,5,3,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,3,5,5,5,5,4.56
Veterinary Science,4,23,Male,3,2,3,4,4,2,4,4,4,3,3,4,4,4,3,4,3,2,4,4,4,3,3,4,3,3.4
Veterinary Science,4,24,Male,3,3,5,4,2,3,5,4,5,5,3,2,3,3,2,3,2,2,5,3,4,4,2,3,4,3.36
Veterinary Science,4,25,Male,3,3,5,2,4,2,3,5,3,4,3,2,2,2,2,4,2,2,2,2,4,2,2,3,5,2.92
Veterinary Science,4,22,Male,4,4,4,4,4,2,4,4,2,4,2,2,2,4,2,4,2,2,2,4,2,4,2,2,4,3.04
Dummy,4,20,Male,5,2,2,5,4,4,1,2,2,2,5,4,3,2,1,2,1,2,3,2,1,2,5,4,3,2.76
Dummy,4,21,Male,4,3,5,5,2,5,5,1,2,4,5,1,1,2,4,5,5,3,2,2,1,1,3,5,5,3.24
Dummy,4,21,Male,3,2,2,2,2,3,5,5,4,4,2,1,1,2,5,4,2,4,2,4,2,1,1,2,5,2.8
Dummy,4,22,Male,1,1,5,5,1,4,4,5,5,3,3,4,2,4,4,2,2,5,5,5,2,2,4,4,4,3.44
Dummy,4,22,Male,2,3,5,5,3,5,2,5,3,3,5,5,4,4,4,3,2,2,2,1,1,2,2,2,4,3.16
Dummy,4,23,Male,3,5,5,2,2,5,5,5,5,3,2,2,2,4,4,3,5,5,5,3,2,4,5,2,3,3.64
Dummy,4,21,Male,2,4,3,2,2,2,4,2,2,2,2,2,1,1,2,2,3,3,3,3,2,2,3,3,4,2.44
Dummy,2,21,Male,2,2,3,5,2,2,3,3,3,2,3,2,3,3,2,5,5,2,1,2,1,2,1,2,1,2.48
Dummy,2,21,Male,1,3,3,3,3,3,2,2,1,3,3,4,3,2,3,3,1,1,2,2,3,1,2,2,2,2.32
Dummy,2,21,Male,2,3,3,4,4,4,4,2,2,1,1,2,2,2,2,4,4,4,4,5,5,5,5,2,1,3.08
Dummy,2,21,Male,3,3,3,5,3,5,5,4,5,5,3,2,1,1,1,2,2,2,2,2,1,1,2,3,4,2.8
Dummy,2,20,Male,4,4,4,2,2,2,1,1,2,2,5,5,3,4,3,2,3,3,3,3,2,2,3,1,1,2.68
Dummy,3,20,Female,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,2,2,1,1,2,2,3,3,5,1.96
Dummy,3,22,Female,3,3,3,3,3,2,2,1,1,2,2,2,4,4,4,4,5,5,5,2,2,2,1,3,3,2.84
Dummy,3,20,Female,1,2,2,3,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,2,4,1.88
Dummy,3,22,Female,3,1,2,1,1,2,2,3,4,4,4,2,1,1,1,3,2,2,3,5,5,2,1,4,2,2.44
Dummy,3,22,Female,1,2,2,1,3,3,3,2,4,5,2,2,2,2,4,4,4,2,4,4,2,1,2,1,2,2.56
Dummy,3,22,Female,1,3,3,3,2,5,5,5,1,2,3,2,4,2,4,3,2,2,1,1,2,4,4,5,5,2.96
Dummy,4,22,Female,2,2,4,4,4,2,1,2,1,2,2,4,4,4,4,4,4,3,3,2,1,1,1,1,3,2.6
Dummy,3,21,Female,2,1,4,3,3,4,4,2,1,1,2,3,2,4,4,4,4,4,2,1,2,1,3,2,5,2.72
Dummy,4,21,Female,2,2,4,4,5,2,2,1,4,4,5,4,4,2,2,2,2,2,2,2,1,1,2,2,4,2.68
Dummy,4,23,Female,3,2,1,1,1,1,2,3,3,4,5,2,1,1,1,2,2,3,2,4,4,5,2,1,2,2.32
Dummy,4,24,Female,3,5,3,5,2,1,1,1,2,2,2,3,3,4,4,4,4,2,1,1,2,2,2,4,4,2.68
Dummy,4,21,Female,2,1,1,2,2,1,4,2,2,2,4,4,4,2,2,2,1,1,1,2,2,3,3,4,4,2.32
Dummy,4,22,Male,2,3,5,4,4,5,1,2,3,3,5,2,1,3,5,5,1,3,3,5,2,1,3,5,5,3.24
Dummy,4,23,Female,4,2,3,5,4,4,5,1,2,3,3,5,2,1,3,5,5,4,3,3,5,2,1,3,5,3.32
Dummy,4,21,Male,1,3,3,2,4,3,5,2,3,5,3,1,1,2,3,1,5,2,5,3,1,1,2,3,1,2.6
